"","hs.1.","hs.2.","hl","ts.1.","ts.2.","p.1.","p.2.","p.3.","gamma","rho.1.","phi","delta.1.","delta.2.","delta.3.","delta.4.","L.1.","tau.1.","tau.2.","tau.3.","tau.4.","w.1.","lc.1.1.","lc.2.1.","lc.2.2.","lc.2.3.","lc.2.4.","alpha.1.","beta.1.","lc.3.1.","lc.3.2.","lc.3.3.","lc.3.4."
"16955",1.7975,4.30854,73.9595,-2.07266,-0.269141,0.221032,0.293828,0.467555,0.333124,2.24494,0.301716,0.180184,0.423517,0.178829,0.0693383,0.243348,2.93437,2.60831,0.172701,2.65893,3.44064,5.03114,6.86476,7.15059,7.01917,6.27993,0.403262,0.466681,6.702712,6.988542,6.857122,6.117882
"10204",2.26233,4.28084,76.806,-1.36182,0.661132,0.226877,0.296417,0.452498,0.444505,2.4159,0.204224,0.203823,0.376519,0.139868,0.145149,0.871993,1.81117,0.257169,3.40081,0.668454,2.70237,4.68967,6.84348,7.13282,6.97321,5.90854,0.524011,0.346009,5.877341,6.166681,6.007071,4.942401
"7663",1.66898,4.33775,65.9305,-1.78167,0.453013,0.227924,0.289964,0.453675,0.416696,2.64558,0.196343,0.243217,0.391252,0.191677,0.152487,0.680718,0.895351,1.15925,0.275107,0.25788,1.69241,4.73972,6.57443,6.51504,6.93593,5.75476,0.625659,0.725067,5.33921,5.27982,5.70071,4.51954
"12522",2.49241,4.46831,80.8311,-1.94299,0.348274,0.227024,0.283948,0.444507,0.558616,2.69873,0.242082,0.166066,0.373283,0.153939,0.0773914,1.01524,0.830715,1.27442,2.52942,1.40942,2.63804,4.68075,6.89578,7.15577,6.71232,6.23581,0.492592,0.734618,3.60041,3.8604,3.41695,2.94044
"7077",2.04304,4.73939,71.085,-1.55229,0.742493,0.221122,0.302982,0.483037,0.638387,2.47145,0.295637,0.204925,0.390779,0.121119,0.112451,0.300228,1.39405,2.55647,1.55523,0.165389,2.52255,5.12467,6.71094,7.035,6.73628,5.92202,0.544264,0.463478,6.253207,6.577267,6.278547,5.464287
"2494",1.83821,4.46258,70.8195,-2.18467,0.547036,0.237179,0.313861,0.483211,0.465096,2.45787,0.246335,0.203255,0.437412,0.171265,0.0559117,1.57722,1.09786,0.335182,1.09162,0.305162,3.41302,4.70073,6.77624,7.09372,6.90137,6.22744,0.321877,0.343749,4.98579,5.30327,5.11092,4.43699
"4170",2.13886,4.53508,93.821,-1.14661,-0.821493,0.234081,0.303093,0.484095,0.405923,2.17921,0.279591,0.17292,0.382522,0.185553,0.0616984,0.904258,1.81541,3.16516,3.25434,1.35055,2.75568,4.62771,6.93029,7.13744,7.09128,6.60965,0.342059,0.351177,6.093733,6.300883,6.254723,5.773093
"10242",2.57861,3.39859,76.7252,-2.12428,1.31759,0.223399,0.284111,0.433457,0.524584,2.27781,0.211047,0.211493,0.348777,0.181436,0.123549,1.63657,2.05281,2.39665,2.25316,0.958779,2.16282,4.39741,6.58746,6.68724,6.80245,6.60734,0.616773,0.562263,5.43677,5.53655,5.65176,5.45665
"19514",2.62288,3.77659,76.4356,-1.56722,0.845267,0.214295,0.286856,0.43908,0.520314,2.57215,0.229973,0.145762,0.351781,0.144263,0.168589,0.456323,1.20719,0.988454,1.73307,1.29646,3.72939,4.85861,6.69125,6.98141,6.82929,5.98096,0.280447,0.451177,5.897409,6.187569,6.035449,5.187119
"10592",1.90382,3.67245,75.1332,-1.97151,-0.246696,0.226963,0.300219,0.49465,0.331801,2.49311,0.296846,0.144515,0.417999,0.199207,0.147458,0.932874,3.48768,1.61792,2.09895,0.343596,3.07941,4.74672,6.95804,7.1537,6.9153,6.02761,0.417672,0.279558,5.89682,6.09248,5.85408,4.96639
"4734",1.54615,4.68312,64.172,-3.31516,0.504552,0.222636,0.299297,0.486335,0.491693,2.78889,0.237098,0.216275,0.446479,0.180022,0.247771,1.24301,0.915608,1.28681,1.20431,0.715183,2.7089,4.7755,6.74237,7.00242,6.81591,6.07903,0.469147,0.390386,4.99078,5.25083,5.06432,4.32744
"11655",2.14683,4.50383,78.666,-0.889012,0.16438,0.222157,0.291563,0.43458,0.555265,2.65825,0.25852,0.212357,0.433639,0.176554,0.123942,0.443786,1.77188,0.699218,3.88133,0.597884,2.64325,4.9681,6.8654,6.99845,6.9048,6.1865,0.675064,0.566729,5.868906,6.001956,5.908306,5.190006
"17936",1.49223,4.60548,68.5414,-1.8415,-0.100772,0.226426,0.298776,0.465507,0.515653,2.19859,0.212256,0.18809,0.419236,0.173475,0.11542,0.356471,0.4378,0.701085,3.16178,0.69596,3.2527,5.03018,6.94377,7.2183,6.94357,5.89751,0.464796,0.455308,4.88235,5.15688,4.88215,3.83609
"15142",2.02743,3.74631,53.2537,-2.79039,0.229157,0.232924,0.297786,0.452345,0.442804,2.32471,0.163143,0.211992,0.449599,0.143229,0.171438,0.0366873,2.69422,1.08915,2.75785,1.39744,3.28683,5.17069,6.7885,6.98809,6.78673,5.65383,0.365655,0.443919,5.61016,5.80975,5.60839,4.47549
"18556",1.53038,4.24188,79.1605,-3.48343,0.366847,0.219232,0.295052,0.451198,0.433438,2.4315,0.298239,0.20416,0.415237,0.154511,0.0774646,0.146892,1.25301,0.75672,1.39151,1.71967,2.72516,5.42875,6.69137,7.05187,6.84694,5.79269,0.475132,0.58983,6.379694,6.740194,6.535264,5.481014
"15569",2.54533,4.42925,85.0159,-2.73362,0.111467,0.237667,0.311242,0.490659,0.426682,2.84384,0.23353,0.202688,0.445669,0.168718,0.115658,0.894593,0.39871,1.94654,2.17603,0.0410667,4.05363,5.02547,6.84649,7.37383,6.94626,6.09143,0.349052,0.159407,5.74491,6.27225,5.84468,4.98985
"19789",2.02259,4.47558,69.0516,-1.94163,-0.158299,0.220363,0.294138,0.460483,0.523944,2.09879,0.393369,0.191995,0.372079,0.135844,0.100814,0.0416932,1.44779,1.27636,0.100064,0.591411,2.67799,5.16933,6.86142,7.19565,6.94652,6.19936,0.497737,0.360761,5.00281,5.33704,5.08791,4.34075
"3541",2.6624,4.12862,72.4656,-2.8818,0.434787,0.213866,0.288485,0.471654,0.477522,2.13658,0.299033,0.163056,0.397981,0.155602,0.145554,0.321479,1.31978,1.39623,0.697495,0.458469,2.81,4.88142,6.7625,7.01721,6.8458,6.03832,0.332897,0.465091,6.7447551,6.9994651,6.8280551,6.0205751
"1772",1.15642,4.4792,63.448,-2.43531,-0.419967,0.214313,0.274413,0.423685,0.542689,2.52851,0.260126,0.153253,0.402356,0.157936,0.0890725,0.598697,1.0554,1.73952,5.22715,0.409921,2.42876,4.96341,6.7334,6.9746,6.99489,6.02979,0.461787,0.494151,4.27602,4.51722,4.53751,3.57241
"12203",1.16817,3.91242,66.6599,-2.06362,0.252177,0.225523,0.297064,0.468549,0.453658,2.3994,0.179562,0.191321,0.395526,0.153238,0.226515,0.329241,0.153112,0.462393,2.53851,1.48841,3.13938,5.12517,6.70228,7.08355,6.8632,5.97826,0.409717,0.41678,6.6027796,6.9840496,6.7636996,5.8787596
"1318",1.15849,4.12882,65.0835,-2.51415,-0.574832,0.230584,0.304697,0.46531,0.425149,2.23976,0.298541,0.193886,0.43739,0.187936,0.228693,1.95423,2.14871,3.00005,3.65534,2.11648,2.57841,4.74283,6.88075,7.05367,6.92116,6.12363,0.53093,0.323668,5.86519,6.03811,5.9056,5.10807
"7564",1.74468,3.99656,63.2784,-2.3296,0.250257,0.219426,0.295771,0.475871,0.50005,2.4921,0.209777,0.153331,0.391356,0.181399,0.136513,0.831178,0.546326,1.47621,1.80892,2.02832,2.26306,4.91779,6.67726,6.79017,6.884,6.3818,0.457959,0.389347,1.83355,1.94646,2.04029,1.53809
"2414",1.33816,4.30754,64.0836,-3.06134,0.548919,0.222835,0.308844,0.482804,0.431433,2.55199,0.225342,0.19102,0.43937,0.192611,0.177603,0.00131046,0.773277,0.261676,0.925912,1.04399,2.83773,5.44613,6.73121,7.0472,6.96861,6.21373,0.509572,0.48736,5.53924,5.85523,5.77664,5.02176
"15901",2.27061,4.37417,68.4366,-1.89997,-0.255476,0.231959,0.296707,0.446557,0.436264,2.44866,0.195668,0.183742,0.4082,0.145733,0.178323,0.0760563,0.985696,2.32825,1.12048,2.24701,2.27719,5.27614,6.78315,6.82424,6.72113,5.83373,0.630292,0.726281,5.924385,5.965475,5.862365,4.974965
"8629",2.4672,4.52833,79.2844,-1.43789,-0.181552,0.221281,0.301851,0.471325,0.474576,2.14982,0.265101,0.160653,0.460234,0.182177,0.178265,0.848185,0.60822,0.967654,2.40628,0.26672,2.15011,4.54025,6.84434,6.93482,6.76019,6.30148,0.645828,0.579645,4.59009,4.68057,4.50594,4.04723
"16702",2.38902,4.54943,78.8899,-1.49846,0.0250873,0.223291,0.298036,0.462798,0.412057,2.34001,0.357534,0.182027,0.394143,0.142757,0.23151,1.32751,0.356157,0.949592,2.30688,1.01199,2.74609,4.61121,6.83788,7.12359,6.89706,6.16498,0.431277,0.403315,3.8894,4.17511,3.94858,3.2165
"9816",1.96604,3.71557,79.0456,-1.01239,-0.266541,0.232612,0.292875,0.464742,0.413839,2.55657,0.195227,0.190058,0.381847,0.14903,0.19614,0.449884,1.20322,1.10598,2.64814,0.578868,3.76278,4.78536,6.79997,7.21319,6.73055,6.09879,0.233086,0.355025,3.59723,4.01045,3.52781,2.89605
"5991",1.80674,4.08507,71.3601,-2.15898,0.426986,0.227029,0.299794,0.466257,0.4355,2.3706,0.28388,0.167591,0.442617,0.119766,0.159835,0.42397,1.1161,1.29248,1.90303,1.10951,2.91999,4.97761,6.68533,6.99266,6.80928,5.91988,0.311816,0.600519,5.56586,5.87319,5.68981,4.80041
"4386",1.94314,4.29572,69.0287,-2.45462,-0.709389,0.224063,0.29733,0.466568,0.437594,2.38185,0.192065,0.253178,0.380457,0.204461,0.216388,1.6717,0.724155,1.19708,1.97996,0.296524,2.21303,4.58543,6.88193,6.8728,6.71633,6.33436,0.484207,0.443626,6.325133,6.316003,6.159533,5.777563
"14116",1.99841,4.61682,69.7824,-1.96866,0.81505,0.224736,0.308877,0.474495,0.39787,2.36255,0.29918,0.181583,0.373573,0.120029,0.132987,0.282804,0.624676,1.13254,1.63213,0.799033,2.86714,5.04122,6.67954,6.96645,6.86235,6.42299,0.432079,0.641222,3.9668,4.25371,4.14961,3.71025
"697",1.22768,5.69751,89.8921,-2.49399,0.726126,0.225832,0.293922,0.456323,0.389411,2.23278,0.256837,0.168152,0.416693,0.176576,0.0688356,0.583981,1.06838,0.777641,3.08344,2.603,2.73416,5.08649,6.88455,7.08845,6.92127,6.16675,0.458399,0.51359,4.8243,5.0282,4.86102,4.1065
"17858",1.9128,3.35144,71.5416,-1.69053,-0.011205,0.225174,0.292241,0.474625,0.481496,2.39876,0.2593,0.237612,0.388715,0.204525,0.147119,0.276736,0.881664,1.23352,0.872494,2.17012,2.3319,5.06138,6.7535,6.84353,6.96682,7.41283,0.578259,0.606997,4.27424,4.36427,4.48756,4.93357
"16616",1.36782,4.17292,88.4342,-2.21884,-0.0903343,0.232402,0.301055,0.462896,0.401431,2.21233,0.314983,0.142929,0.36589,0.15624,0.237841,0.962876,2.61622,1.3078,2.95646,2.16902,2.50109,4.85442,6.91997,7.03923,6.835,5.89678,0.43429,0.419651,4.25081,4.37007,4.16584,3.22762
"13138",0.6738,4.42043,67.5573,-3.37573,0.0275777,0.228741,0.299251,0.467569,0.701106,2.82227,0.315178,0.227107,0.451133,0.188425,0.0704449,1.80674,0.780771,1.82477,2.23157,0.00114192,2.87841,5.00318,6.7451,7.08059,6.87863,6.35109,0.306387,0.213384,4.07907,4.41456,4.2126,3.68506
"11921",1.10917,3.29231,77.7103,-1.5827,0.441475,0.235486,0.297426,0.472728,0.428923,2.34933,0.337786,0.181311,0.385694,0.181729,0.164198,1.05409,2.78495,2.50088,3.57082,1.19991,2.88904,4.7341,6.75296,7.10095,6.82568,6.01084,0.494425,0.499093,6.052338,6.400328,6.125058,5.310218
"8707",1.2072,4.23186,73.1814,-1.11038,0.0949492,0.232968,0.297454,0.493252,0.404579,2.43457,0.268934,0.181815,0.451065,0.148501,0.0853786,0.541304,3.15318,1.85663,1.97843,0.654044,2.28635,4.93276,6.79683,6.9132,6.81214,6.2353,0.618276,0.475157,5.897952,6.014322,5.913262,5.336422
"5100",2.94459,4.78956,73.1179,-1.69149,0.650508,0.230862,0.298929,0.484054,0.3382,2.42976,0.257615,0.200886,0.398878,0.194518,0.128378,0.539745,1.31774,1.54975,3.72488,0.187493,2.56454,4.92268,6.85944,6.98531,6.9904,5.90559,0.466148,0.389551,4.84849,4.97436,4.97945,3.89464
"14728",2.96395,4.21323,72.3687,-1.85928,-0.156607,0.231276,0.296929,0.481994,0.535821,2.38369,0.207914,0.186919,0.368797,0.190359,0.162521,0.470806,0.417504,1.56123,2.18502,0.47851,2.52661,4.96084,6.83673,7.03706,6.88373,6.11207,0.502859,0.518903,5.39332,5.59365,5.44032,4.66866
"13038",2.55558,4.85845,51.6349,-2.0695,0.0413399,0.227284,0.289462,0.457056,0.567826,2.25513,0.286589,0.202794,0.342502,0.140149,0.114049,0.531652,0.483422,1.24164,2.84558,0.832546,2.4621,4.70434,6.82084,6.88552,6.91213,5.80365,0.454923,0.617979,6.024852,6.089532,6.116142,5.007662
"14324",1.75954,4.02394,83.2419,-1.63127,0.413564,0.221156,0.295087,0.46497,0.550123,2.57021,0.243409,0.168101,0.341599,0.199405,0.111645,0.726008,0.866293,1.1988,3.34492,0.134726,2.24629,4.86691,6.81086,6.99319,6.83848,5.81701,0.564959,0.448306,3.82173,4.00406,3.84935,2.82788
"6955",1.60511,3.36473,74.3773,-3.03681,0.0990671,0.227688,0.294488,0.460513,0.434467,2.4519,0.349192,0.182954,0.476802,0.209946,0.132314,0.249235,1.13626,0.258487,1.78127,0.0470874,5.24873,5.19598,6.91508,7.35945,6.86165,6.11413,0.353217,0.286871,4.8031,5.24747,4.74967,4.00215
"6896",2.52143,4.64229,86.9083,-3.1995,1.24287,0.215489,0.287578,0.453487,0.410116,2.25819,0.35566,0.173238,0.381727,0.157681,0.169738,1.11545,1.46879,1.5524,2.03819,1.96489,2.27736,4.71864,6.77495,6.96005,6.874,6.55406,0.682078,0.586631,4.98153,5.16663,5.08058,4.76064
"10756",1.85695,4.14254,97.049,-2.91102,0.3342,0.225427,0.299837,0.470766,0.387778,2.48621,0.269168,0.181922,0.46675,0.137981,0.115367,1.65033,1.49385,1.88923,2.90429,0.462318,3.36794,4.84949,6.85202,7.21652,6.84511,6.52984,0.252145,0.331407,4.47214,4.83664,4.46523,4.14996
"10375",2.43963,3.78523,84.3808,-1.59461,-0.348455,0.223412,0.303884,0.487026,0.472596,2.12111,0.417039,0.173644,0.408169,0.120898,0.128162,0.576361,1.51414,2.15439,1.67448,2.44298,3.73538,4.84402,6.93371,7.37295,6.91909,6.5891,0.301938,0.303244,6.168429,6.607669,6.153809,5.823819
"7324",1.60446,4.10241,72.6151,-3.27786,0.429693,0.22096,0.298489,0.449833,0.382003,2.2175,0.202998,0.199674,0.440643,0.130021,0.122812,0.59327,2.20443,2.67943,2.00384,2.64364,2.99221,5.16544,6.81088,7.18365,6.91237,6.09659,0.532095,0.469205,5.15879,5.53156,5.26028,4.4445
"9812",2.58438,3.59653,74.0394,-3.33078,0.420405,0.23503,0.305577,0.484339,0.399507,2.35692,0.200469,0.16635,0.374774,0.157818,0.0926851,0.19631,1.00827,1.11955,1.15346,0.875929,3.0249,5.14082,6.64761,7.10359,6.8354,5.68156,0.328497,0.57313,5.07735,5.53333,5.26514,4.1113
"1256",2.47656,3.9408,73.2153,-2.34535,-0.0253758,0.23036,0.302395,0.483585,0.382718,2.86514,0.316941,0.177909,0.401023,0.166233,0.25178,0.916615,1.42028,2.39423,2.90347,0.531458,2.57711,4.94818,6.75492,7.10066,6.84005,6.01119,0.485123,0.426361,6.638006,6.983746,6.723136,5.894276
"17918",2.84092,4.09311,54.1631,-2.64191,0.379207,0.21919,0.282081,0.430529,0.385628,2.28674,0.298903,0.171108,0.399531,0.177012,0.0818789,0.440028,1.63513,1.88568,1.56234,0.714849,1.80905,4.80167,6.48086,6.5362,6.8293,5.83664,0.510661,0.827883,3.47579,3.53113,3.82423,2.83157
"5943",1.90522,3.97766,84.4725,-2.21784,1.34622,0.223242,0.29321,0.485211,0.437466,2.63223,0.254667,0.17616,0.483726,0.182783,0.196187,1.00322,1.94972,2.62134,1.66659,1.88882,2.66514,4.79468,6.76196,6.95776,6.82543,5.75788,0.420943,0.386879,6.251535,6.447335,6.315005,5.247455
"5293",1.89444,5.2216,74.064,-2.23756,0.343607,0.222752,0.2858,0.441533,0.467287,2.59245,0.271954,0.222765,0.344491,0.143766,0.223936,0.666845,1.21923,1.1369,2.9374,1.06022,3.28106,4.91996,6.93739,7.16274,6.93306,5.98684,0.50769,0.463569,3.42297,3.64832,3.41864,2.47242
"9974",2.06346,3.60756,72.7514,-2.11073,0.818519,0.229814,0.2993,0.46084,0.749571,2.16015,0.17919,0.197966,0.391486,0.139582,0.111075,1.15616,1.4735,2.03912,1.31856,1.03021,3.06062,4.70653,6.64259,7.0774,6.80632,5.8083,0.433199,0.500322,5.803861,6.238671,5.967591,4.969571
"16521",1.55065,4.19276,84.3834,-2.64863,-0.785893,0.217801,0.293873,0.460212,0.461113,2.56612,0.320901,0.123562,0.395031,0.178162,0.130235,1.15104,2.83408,0.831243,2.44502,1.05173,3.17791,4.9583,6.98722,7.32458,6.88793,6.20571,0.427773,0.362769,6.1066,6.44396,6.00731,5.32509
"12605",2.89921,3.90473,68.4644,-1.28724,1.2096,0.244497,0.322671,0.490367,0.544108,2.34989,0.269661,0.147861,0.366969,0.116875,0.186305,0.61499,2.52213,1.65725,1.30893,1.3436,2.11641,4.76368,6.60918,6.86888,6.67439,6.19425,0.48037,0.46498,4.6155,4.8752,4.68071,4.20057
"17107",1.89445,4.61349,77.6482,-2.07792,0.643446,0.228366,0.308407,0.463601,0.427921,2.44918,0.311548,0.145184,0.395057,0.134613,0.161275,0.410303,1.57966,1.5641,1.5422,1.07522,2.43233,5.13033,6.67487,6.98719,7.04253,5.93356,0.509542,0.530826,5.747832,6.060152,6.115492,5.006522
"11454",2.22819,4.20905,97.1519,-1.99179,0.0627064,0.217586,0.287579,0.43984,0.399941,2.21261,0.245696,0.199187,0.419451,0.162554,0.147467,0.625438,1.05113,1.37449,3.14238,1.03044,3.87546,4.96337,6.9341,7.21908,6.96071,5.87265,0.386912,0.420565,6.730475,7.015455,6.757085,5.669025
"8463",2.13721,3.93027,60.9772,-2.49405,0.694712,0.219947,0.291771,0.452744,0.491652,2.70729,0.225634,0.187073,0.444836,0.13053,0.120968,1.18361,2.80246,0.282266,2.72646,1.25149,3.13685,4.68839,6.74081,7.07965,6.87399,5.65175,0.457494,0.426651,6.547789,6.886629,6.680969,5.458729
"11241",1.56831,3.6395,67.4126,-1.97415,0.0648275,0.221855,0.288323,0.457501,0.345845,2.24194,0.310554,0.183409,0.392844,0.201091,0.166947,0.983345,1.94889,1.36451,1.85342,0.0839393,2.57723,4.79878,6.80909,6.94914,6.95582,6.56279,0.361751,0.517971,5.61131,5.75136,5.75804,5.36501
"5594",2.4455,4.76448,75.5316,-1.78806,0.436356,0.229556,0.302721,0.492565,0.308677,2.84782,0.274485,0.173591,0.392408,0.240165,0.125031,1.2833,0.819603,2.58141,2.06979,1.6519,3.10901,4.66653,6.83989,7.20958,6.91723,6.47812,0.384189,0.302602,4.53392,4.90361,4.61126,4.17215
"12204",1.07091,3.60227,74.2253,-1.79126,0.0829448,0.226523,0.298548,0.453091,0.450043,2.31646,0.20076,0.181709,0.372145,0.155735,0.216522,0.267363,0.170305,0.232642,2.14888,3.53466,3.11609,5.13291,6.67971,7.1988,6.77687,5.93849,0.366752,0.448114,6.6197946,7.1388846,6.7169546,5.8785746
"13065",2.91781,5.01074,81.5386,-2.63359,0.585519,0.224591,0.304253,0.492445,0.352298,2.8933,0.234342,0.180329,0.421868,0.146222,0.0992727,0.836802,0.863478,1.34175,2.18626,2.12007,2.71272,4.89514,6.83191,7.05823,6.94737,5.84292,0.439412,0.502067,5.48658,5.7129,5.60204,4.49759
"10352",2.5746,3.99406,68.4891,-2.74466,0.127574,0.230644,0.305827,0.478245,0.398519,2.23311,0.265825,0.164277,0.343809,0.155693,0.126053,0.490341,1.40866,1.03058,1.7996,0.213186,4.14628,4.93646,6.81671,7.17115,6.73824,6.2187,0.257914,0.354782,6.525552,6.879992,6.447082,5.927542
"13929",1.70946,4.28609,78.4851,-2.3295,-0.253087,0.227651,0.30726,0.487925,0.42197,2.78061,0.25393,0.205534,0.3434,0.191931,0.203278,0.937341,0.100994,2.05314,2.49722,0.549799,2.55913,4.93274,6.84416,7.15676,7.08342,6.02299,0.59513,0.36385,5.05524,5.36784,5.2945,4.23407
"1953",1.44637,3.80716,26.0609,-2.51254,0.80876,0.232477,0.29893,0.494664,0.464735,2.67409,0.239764,0.174971,0.395348,0.222051,0.30441,1.16045,1.86353,0.864018,1.04656,0.591468,1.4527,4.05675,6.13326,5.88001,6.7274,5.65554,0.825946,1.01747,0.18908,-0.06417,0.78322,-0.28864
"8180",2.70938,4.96014,64.3798,-2.10501,0.213657,0.229229,0.302369,0.476276,0.50811,2.49662,0.226956,0.215372,0.341941,0.153193,0.101719,0.614276,0.747725,2.43991,2.80215,0.0376661,2.78562,4.88829,6.71824,6.93776,6.94136,6.23233,0.433931,0.407922,2.6938,2.91332,2.91692,2.20789
"5587",2.11688,3.99994,63.1373,-1.72658,0.676879,0.22319,0.302598,0.485908,0.411049,2.69433,0.352982,0.201909,0.490933,0.151797,0.257884,1.1293,2.73532,2.33002,3.10541,0.655293,3.53426,4.71293,6.74419,7.20896,6.9565,6.16323,0.389198,0.357594,5.848411,6.313181,6.060721,5.267451
"478",1.64691,4.25698,62.8111,-1.16348,1.16353,0.233866,0.302259,0.488783,0.474289,2.27162,0.307965,0.184187,0.381388,0.127123,0.159426,1.82577,1.6407,2.03599,2.88355,1.30731,2.90316,4.47788,6.75261,7.08688,6.76676,5.74394,0.475376,0.338245,6.524154,6.858424,6.538304,5.515484
"4887",2.25529,4.09818,73.0667,-2.06609,0.75738,0.215996,0.287188,0.432142,0.448425,2.33023,0.268243,0.180793,0.390645,0.208457,0.129946,0.273721,1.72335,1.08006,2.46522,0.877383,3.01507,5.02707,6.76108,7.11211,6.90813,6.11784,0.510653,0.466245,4.75768,5.10871,4.90473,4.11444
"5268",1.76204,5.09204,77.1982,-2.6092,0.689522,0.230505,0.29708,0.470248,0.4726,2.30345,0.281324,0.135075,0.449514,0.172337,0.165949,1.68206,2.65276,0.951564,1.48422,1.5398,3.52121,4.74772,6.83939,7.29634,7.09786,6.07603,0.44678,0.286888,5.30792,5.76487,5.56639,4.54456
"13599",1.64302,4.3374,79.1695,-1.5529,0.617975,0.213786,0.27587,0.41046,0.478678,2.10964,0.307865,0.157307,0.439958,0.154991,0.103681,0.609747,1.39222,1.87776,3.21663,0.980067,2.1162,4.681,6.77391,7.07441,6.55309,6.42951,0.470958,0.617292,5.49348,5.79398,5.27266,5.14908
"14818",2.24001,4.09013,105.026,-2.40035,0.593914,0.239752,0.310746,0.491913,0.417048,2.27622,0.288304,0.178214,0.404405,0.117815,0.118016,1.12333,2.38905,0.667241,3.58037,1.03923,4.38878,4.88857,6.9641,7.36437,6.93347,6.12918,0.353932,0.242787,4.98815,5.38842,4.95752,4.15323
"10382",2.70581,4.08685,56.3818,-1.93265,0.0339136,0.226119,0.308447,0.492288,0.304422,2.42404,0.262238,0.143156,0.374791,0.15398,0.122388,0.28651,0.752216,1.60933,3.10515,0.106765,1.996,4.82861,6.74787,6.70863,6.71407,6.08543,0.618048,0.670883,4.5228,4.48356,4.489,3.86036
"12454",2.26046,4.30789,73.2092,-3.06677,0.65958,0.221865,0.288204,0.439874,0.374879,2.23069,0.252136,0.162934,0.396765,0.181665,0.0641612,1.07668,1.97187,0.491748,2.69603,0.269453,2.38557,4.84641,6.79639,7.10554,6.87811,5.94431,0.55704,0.424782,5.55233,5.86148,5.63405,4.70025
"6935",2.47755,4.97088,57.4314,-1.51052,-0.0605269,0.23005,0.306722,0.486803,0.482025,2.73346,0.21946,0.130192,0.384949,0.126987,0.050933,1.0778,0.768681,2.36706,2.34799,0.402778,2.0412,4.47031,6.75554,6.88625,6.72934,5.78403,0.368441,0.443451,5.29728,5.42799,5.27108,4.32577
"2136",2.33246,3.8521,63.3582,-1.82531,0.295474,0.220569,0.291959,0.453363,0.342067,2.20479,0.271094,0.185688,0.416637,0.202933,0.107689,0.659607,0.746767,0.228834,0.949448,0.852509,3.03181,4.84726,6.72824,7.06631,6.71597,6.4357,0.419385,0.357283,4.28009,4.61816,4.26782,3.98755
"687",1.87967,4.24992,46.335,-2.25949,-0.0838558,0.221898,0.289549,0.441395,0.512665,2.56933,0.210434,0.209974,0.408168,0.111399,0.167197,0.556803,1.46813,0.949431,1.35386,0.706881,2.80236,4.89075,6.75806,6.93343,6.72231,6.24779,0.506966,0.59024,2.67014,2.84551,2.63439,2.15987
"3012",1.85037,4.66834,65.226,-3.1379,0.149276,0.234087,0.314953,0.503569,0.468398,2.35501,0.296508,0.189888,0.405256,0.163647,0.0791378,0.929145,0.881957,1.64371,3.18103,1.23106,2.05893,4.71478,6.77715,6.83571,6.93127,5.8606,0.599113,0.532393,5.25834,5.3169,5.41246,4.34179
"9338",3.07951,3.61642,70.7956,-2.5872,0.826974,0.235927,0.318449,0.509375,0.469603,2.35872,0.240931,0.216614,0.361776,0.157633,0.174606,0.74171,0.319926,0.198107,2.64493,1.28643,2.76176,4.83465,6.62031,7.0765,6.82728,5.756,0.462895,0.349475,6.392928,6.849118,6.599898,5.528618
"9867",2.26263,4.72334,35.648,-2.06916,1.18626,0.231052,0.300384,0.47144,0.350696,2.42529,0.29741,0.185295,0.340823,0.158376,0.18839,0.346118,1.42942,1.14686,1.56034,0.220244,1.81399,4.91432,6.4178,6.54901,6.7339,5.74876,0.647744,0.87617,4.64745,4.77866,4.96355,3.97841
"16226",0.92806,4.41131,69.4071,-2.81813,-0.178353,0.229739,0.303833,0.476978,0.756349,2.38085,0.270126,0.230807,0.397602,0.189191,0.112903,0.367291,1.46707,1.65682,3.37558,0.17959,3.23135,5.26989,6.84301,7.19652,6.86442,6.16984,0.442148,0.304262,3.85688,4.21039,3.87829,3.18371
"10644",2.4206,4.3552,57.6167,-2.10103,0.900337,0.237489,0.307461,0.496737,0.579453,2.84699,0.302442,0.185066,0.389558,0.183635,0.113042,0.265357,1.87541,0.740578,3.64649,0.770645,2.45599,5.16406,6.65839,6.93564,6.88649,6.03128,0.549761,0.431596,4.37742,4.65467,4.60552,3.75031
"14610",2.05791,5.45811,62.7177,-2.14711,-0.401501,0.232155,0.308723,0.482426,0.502742,2.48506,0.187007,0.177228,0.412311,0.147527,0.0703358,1.11565,0.334143,0.710454,3.51267,1.78001,2.28018,4.65141,6.683,7.07578,6.97281,6.39487,0.545302,0.452508,4.74994,5.14272,5.03975,4.46181
"17209",2.0769,3.96116,69.8658,-1.96205,0.127165,0.238359,0.303047,0.482478,0.632574,2.6693,0.1719,0.227912,0.40688,0.195513,0.208181,1.09719,2.33811,1.17017,1.13671,1.18764,3.74779,4.77462,6.82602,7.27167,6.89358,6.18699,0.436719,0.39138,5.70548,6.15113,5.77304,5.06645
"3616",1.40816,4.86664,74.0978,-2.32497,-0.242191,0.23689,0.311166,0.499132,0.398866,2.33514,0.231767,0.161258,0.369032,0.169145,0.228844,0.944294,0.555443,1.0537,1.55108,1.03021,2.62031,4.84787,6.84371,7.09999,6.88879,6.32973,0.374971,0.474915,6.304389,6.560669,6.349469,5.790409
